cond,seed,step,kl_logged,genuine_correct,intermediate,leakage,format_valid
BASELINE,42,5,9.778671665117145e-05,1.0,1.0,0.0,1.0
BASELINE,42,10,5.150808283360675e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,42,15,6.680329443042865e-05,1.0,1.0,0.0,1.0
BASELINE,42,20,7.004825602052733e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
BASELINE,42,25,4.437110601429595e-05,1.0,1.0,0.0,1.0
BASELINE,42,30,4.514254305831855e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,42,35,5.2218222208466614e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
BASELINE,42,40,5.076357410871424e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
BASELINE,42,45,5.8145536058873404e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,42,50,4.862788955506403e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
BASELINE,42,55,4.043881381221581e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,42,60,3.675648122225539e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
BASELINE,42,65,4.5232266529637855e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,42,70,5.361925286706537e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
BASELINE,42,75,5.2264905207266565e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,42,80,4.255813519193907e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
BASELINE,42,85,4.973113482265035e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
BASELINE,42,90,4.660545255319448e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
BASELINE,42,95,5.519665546671604e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,42,100,5.384538781072479e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,42,105,4.660545164369978e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,42,110,4.5868292090744944e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,42,115,4.4991140384809114e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,42,120,5.305350032358547e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,42,125,4.939061363984365e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
BASELINE,42,130,5.3073802973813144e-05,0.9523809523809523,0.9523809523809523,0.0,1.0
BASELINE,42,135,5.005111052014399e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,42,140,5.43933201697655e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,42,145,6.062792954253382e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,42,150,5.519335263670655e-05,0.8571428571428571,0.8571428571428571,0.0,1.0
BASELINE,43,5,4.8459507524967194e-05,1.0,1.0,0.0,1.0
BASELINE,43,10,4.2267307435395196e-05,0.9047619047619048,0.9047619047619048,0.0,1.0
BASELINE,43,15,4.3553849536692724e-05,1.0,1.0,0.0,1.0
BASELINE,43,20,4.5075384150550235e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,25,5.0385098347760504e-05,0.8095238095238095,0.8095238095238095,0.0,1.0
BASELINE,43,30,4.85679324810917e-05,0.6666666666666666,0.6666666666666666,0.0,1.0
BASELINE,43,35,6.524890841319575e-05,0.6666666666666666,0.6666666666666666,0.0,1.0
BASELINE,43,40,4.845041166845476e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,45,4.336321899245377e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,50,4.6611245124950074e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,55,4.793916559719946e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,60,5.281978883431293e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,65,4.795023323822534e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,70,4.103697028767783e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
BASELINE,43,75,4.804239461009274e-05,0.7619047619047619,0.7619047619047619,0.0,1.0
